datetime,duration,unit,consumption,generation
2023-06-04T08:00:00-05:00,900,Wh,196,0
2023-06-04T08:15:00-05:00,900,Wh,238,0
2023-06-04T08:30:00-05:00,900,Wh,240,0
2023-06-04T08:45:00-05:00,900,Wh,226,0
2023-06-04T09:00:00-05:00,900,Wh,224,0
2023-06-04T09:15:00-05:00,900,Wh,238,0
2023-06-04T09:30:00-05:00,900,Wh,230,0
2023-06-04T09:45:00-05:00,900,Wh,214,0
2023-06-04T10:00:00-05:00,900,Wh,239,0
2023-06-04T10:15:00-05:00,900,Wh,246,0
2023-06-04T10:30:00-05:00,900,Wh,180,0
2023-06-04T10:45:00-05:00,900,Wh,215,0
2023-06-04T11:00:00-05:00,900,Wh,211,0
2023-06-04T11:15:00-05:00,900,Wh,252,0
2023-06-04T11:30:00-05:00,900,Wh,256,0
2023-06-04T11:45:00-05:00,900,Wh,270,0
2023-06-04T12:00:00-05:00,900,Wh,263,0
2023-06-04T12:15:00-05:00,900,Wh,287,0
2023-06-04T12:30:00-05:00,900,Wh,302,0
2023-06-04T12:45:00-05:00,900,Wh,318,0
2023-06-04T13:00:00-05:00,900,Wh,334,0
2023-06-04T13:15:00-05:00,900,Wh,342,0
2023-06-04T13:30:00-05:00,900,Wh,299,0
2023-06-04T13:45:00-05:00,900,Wh,295,0
2023-06-04T14:00:00-05:00,900,Wh,338,0
2023-06-04T14:15:00-05:00,900,Wh,346,0
2023-06-04T14:30:00-05:00,900,Wh,329,0
2023-06-04T14:45:00-05:00,900,Wh,424,0
2023-06-04T15:00:00-05:00,900,Wh,410,0
2023-06-04T15:15:00-05:00,900,Wh,395,0
2023-06-04T15:30:00-05:00,900,Wh,440,0
2023-06-04T15:45:00-05:00,900,Wh,364,0
2023-06-04T16:00:00-05:00,900,Wh,480,0
2023-06-04T16:15:00-05:00,900,Wh,368,0
2023-06-04T16:30:00-05:00,900,Wh,335,0
2023-06-04T16:45:00-05:00,900,Wh,392,0
2023-06-04T17:00:00-05:00,900,Wh,318,0
2023-06-04T17:15:00-05:00,900,Wh,322,0
2023-06-04T17:30:00-05:00,900,Wh,380,0
2023-06-04T17:45:00-05:00,900,Wh,324,0
2023-06-04T18:00:00-05:00,900,Wh,355,0
2023-06-04T18:15:00-05:00,900,Wh,448,0
2023-06-04T18:30:00-05:00,900,Wh,480,0
2023-06-04T18:45:00-05:00,900,Wh,1240,0
2023-06-04T19:00:00-05:00,900,Wh,1440,0
2023-06-04T19:15:00-05:00,900,Wh,1423,0
2023-06-04T19:30:00-05:00,900,Wh,1463,0
2023-06-04T19:45:00-05:00,900,Wh,1397,0
2023-06-04T20:00:00-05:00,900,Wh,1342,0
2023-06-04T20:15:00-05:00,900,Wh,1355,0
2023-06-04T20:30:00-05:00,900,Wh,1325,0
2023-06-04T20:45:00-05:00,900,Wh,1319,0
2023-06-04T21:00:00-05:00,900,Wh,1346,0
2023-06-04T21:15:00-05:00,900,Wh,1332,0
2023-06-04T21:30:00-05:00,900,Wh,1320,0
2023-06-04T21:45:00-05:00,900,Wh,1266,0
2023-06-04T22:00:00-05:00,900,Wh,439,0
2023-06-04T22:15:00-05:00,900,Wh,740,0
2023-06-04T22:30:00-05:00,900,Wh,1242,0
2023-06-04T22:45:00-05:00,900,Wh,504,0
2023-06-04T23:00:00-05:00,900,Wh,1039,0
2023-06-04T23:15:00-05:00,900,Wh,458,0
2023-06-04T23:30:00-05:00,900,Wh,966,0
2023-06-04T23:45:00-05:00,900,Wh,1169,0
2023-06-05T00:00:00-05:00,900,Wh,1186,0
2023-06-05T00:15:00-05:00,900,Wh,1193,0
2023-06-05T00:30:00-05:00,900,Wh,1204,0
2023-06-05T00:45:00-05:00,900,Wh,1180,0
2023-06-05T01:00:00-05:00,900,Wh,433,0
2023-06-05T01:15:00-05:00,900,Wh,857,0
2023-06-05T01:30:00-05:00,900,Wh,1072,0
2023-06-05T01:45:00-05:00,900,Wh,206,0
2023-06-05T02:00:00-05:00,900,Wh,216,0
2023-06-05T02:15:00-05:00,900,Wh,224,0
2023-06-05T02:30:00-05:00,900,Wh,246,0
2023-06-05T02:45:00-05:00,900,Wh,402,0
2023-06-05T03:00:00-05:00,900,Wh,1194,0
2023-06-05T03:15:00-05:00,900,Wh,1198,0
